Distrito,cabecera.distrital,Partido,Estado,Media,Rango menor,Rango superior
E1D3,AGUASCALIENTES,ES,AGUASCALIENTES,3.64%,0,9.44%
E1D1,JESUS MARIA,ES,AGUASCALIENTES,2.82%,0,10.93%
E2D1,MEXICALI,ES,BAJA CALIFORNIA,4.29%,0,8.71%
E2D2,MEXICALI,ES,BAJA CALIFORNIA,4.37%,0.42%,7.68%
E2D7,MEXICALI,ES,BAJA CALIFORNIA,5.27%,0.27%,9.46%
E2D4,TIJUANA,ES,BAJA CALIFORNIA,4.04%,0.46%,7.04%
E2D5,TIJUANA,ES,BAJA CALIFORNIA,4.95%,0.16%,8.97%
E2D6,TIJUANA,ES,BAJA CALIFORNIA,5.00%,0.65%,8.65%
E2D8,TIJUANA,ES,BAJA CALIFORNIA,4.67%,-0.09%,8.66%
E3D1,LA PAZ,ES,BAJA CALIFORNIA SUR,1.85%,0,6.24%
E3D2,SAN JOSE DEL CABO,ES,BAJA CALIFORNIA SUR,2.13%,0,7.17%
E4D2,CIUDAD DEL CARMEN,ES,CAMPECHE,1.84%,0,9.49%
E4D1,SAN FRANCISCO DE CAMPECHE,ES,CAMPECHE,2.38%,0,7.86%
E7D2,BOCHIL,ES,CHIAPAS,6.64%,0,19.45%
E7D8,COMITAN DE DOMINGUEZ,ES,CHIAPAS,6.99%,0,20.42%
E7D13,HUEHUETAN,ES,CHIAPAS,7.33%,0,19.08%
E7D11,LAS MARGARITAS,ES,CHIAPAS,8.22%,0,23.26%
E7D3,OCOSINGO,ES,CHIAPAS,7.44%,0,22.49%
E7D1,PALENQUE,ES,CHIAPAS,9.12%,0,23.81%
E7D5,SAN CRISTOBAL DE LAS CASAS,ES,CHIAPAS,7.31%,0,20.69%
E7D12,TAPACHULA,ES,CHIAPAS,6.88%,0,18.67%
E7D7,TONALA,ES,CHIAPAS,7.88%,0,21.40%
E7D6,TUXTLA GUTIERREZ,ES,CHIAPAS,7.33%,0,19.38%
E7D9,TUXTLA GUTIERREZ,ES,CHIAPAS,7.78%,0,16.12%
E7D10,VILLAFLORES,ES,CHIAPAS,8.21%,0,22.05%
E8D6,CHIHUAHUA,ES,CHIHUAHUA,4.32%,0,11.35%
E8D8,CHIHUAHUA,ES,CHIHUAHUA,4.05%,0,12.01%
E8D7,CUAUHTEMOC,ES,CHIHUAHUA,4.75%,0,16.51%
E8D5,DELICIAS,ES,CHIHUAHUA,3.09%,0,11.81%
E8D1,JUAREZ,ES,CHIHUAHUA,4.00%,0,9.90%
E8D2,JUAREZ,ES,CHIHUAHUA,5.05%,0,11.75%
E8D3,JUAREZ,ES,CHIHUAHUA,5.18%,0,11.41%
E8D4,JUAREZ,ES,CHIHUAHUA,5.01%,0,13.24%
E9D16,ALVARO OBREGON,ES,CIUDAD DE MÉXICO,4.81%,1.65%,7.46%
E9D3,AZCAPOTZALCO,ES,CIUDAD DE MÉXICO,4.68%,1.70%,7.19%
E9D23,COYOACAN,ES,CIUDAD DE MÉXICO,4.22%,0.39%,7.43%
E9D24,COYOACAN,ES,CIUDAD DE MÉXICO,4.43%,-0.82%,8.85%
E9D17,CUAJIMALPA DE MORELOS,ES,CIUDAD DE MÉXICO,4.85%,0,9.76%
E9D12,CUAUHTEMOC,ES,CIUDAD DE MÉXICO,5.69%,-0.91%,11.23%
E9D1,GUSTAVO A. MADERO,ES,CIUDAD DE MÉXICO,4.35%,-0.39%,8.33%
E9D2,GUSTAVO A. MADERO,ES,CIUDAD DE MÉXICO,5.05%,0.72%,8.69%
E9D7,GUSTAVO A. MADERO,ES,CIUDAD DE MÉXICO,4.67%,0.09%,8.52%
E9D13,IZTACALCO,ES,CIUDAD DE MÉXICO,5.10%,0.77%,8.74%
E9D18,IZTAPALAPA,ES,CIUDAD DE MÉXICO,5.56%,2.69%,7.97%
E9D19,IZTAPALAPA,ES,CIUDAD DE MÉXICO,5.09%,2.73%,7.07%
E9D20,IZTAPALAPA,ES,CIUDAD DE MÉXICO,5.35%,2.15%,8.03%
E9D22,IZTAPALAPA,ES,CIUDAD DE MÉXICO,3.78%,1.89%,5.38%
E9D4,IZTAPALAPA,ES,CIUDAD DE MÉXICO,4.98%,2.32%,7.21%
E9D6,LA MAGDALENA CONTRERAS,ES,CIUDAD DE MÉXICO,4.78%,-0.44%,9.16%
E9D10,MIGUEL HIDALGO,ES,CIUDAD DE MÉXICO,4.97%,0,10.18%
E9D9,TLAHUAC,ES,CIUDAD DE MÉXICO,5.37%,1.62%,8.52%
E9D14,TLALPAN,ES,CIUDAD DE MÉXICO,5.11%,0.80%,8.72%
E9D5,TLALPAN,ES,CIUDAD DE MÉXICO,5.80%,-0.11%,10.76%
E9D11,VENUSTIANO CARRANZA,ES,CIUDAD DE MÉXICO,5.35%,1.63%,8.48%
E9D21,XOCHIMILCO,ES,CIUDAD DE MÉXICO,5.14%,0.43%,9.09%
E5D3,MONCLOVA,ES,COAHUILA,1.40%,0,11.52%
E5D1,PIEDRAS NEGRAS,ES,COAHUILA,3.69%,0,16.67%
E5D4,SALTILLO,ES,COAHUILA,3.09%,0,15.82%
E5D2,SAN PEDRO,ES,COAHUILA,2.12%,0,13.64%
E5D5,TORREON,ES,COAHUILA,2.11%,0,13.42%
E5D6,TORREON,ES,COAHUILA,2.65%,0,12.58%
E6D1,COLIMA,ES,COLIMA,1.60%,0,7.07%
E6D2,MANZANILLO,ES,COLIMA,3.12%,0,10.28%
E10D2,GOMEZ PALACIO,ES,DURANGO,2.61%,0,11.19%
E10D3,GUADALUPE VICTORIA,ES,DURANGO,1.93%,0,10.21%
E10D4,VICTORIA DE DURANGO,ES,DURANGO,3.24%,0,10.29%
E11D14,ACAMBARO,ES,GUANAJUATO,1.85%,0,6.25%
E11D12,CELAYA,ES,GUANAJUATO,3.74%,0,8.26%
E11D4,GUANAJUATO,ES,GUANAJUATO,3.27%,0,10.70%
E11D15,IRAPUATO,ES,GUANAJUATO,2.45%,0,9.13%
E11D9,IRAPUATO,ES,GUANAJUATO,2.02%,0,8.60%
E11D3,LEON,ES,GUANAJUATO,3.65%,0,8.84%
E11D5,LEON,ES,GUANAJUATO,3.28%,0,8.75%
E11D6,LEON,ES,GUANAJUATO,2.61%,0,7.68%
E11D8,SALAMANCA,ES,GUANAJUATO,2.60%,0,6.97%
E11D1,SAN LUIS DE LA PAZ,ES,GUANAJUATO,1.98%,0,8.10%
E11D2,SAN MIGUEL DE ALLENDE,ES,GUANAJUATO,2.57%,0,6.52%
E11D10,URIANGATO,ES,GUANAJUATO,1.76%,0,7.72%
E11D13,VALLE DE SANTIAGO,ES,GUANAJUATO,2.44%,0,8.48%
E12D4,ACAPULCO,ES,GUERRERO,2.49%,0,7.88%
E12D9,ACAPULCO,ES,GUERRERO,4.55%,0,10.99%
E12D8,AYUTLA DE LOS LIBRES,ES,GUERRERO,2.04%,0,7.50%
E12D1,CD. ALTAMIRANO,ES,GUERRERO,0.67%,0,7.33%
E12D6,CHILAPA,ES,GUERRERO,1.75%,0,6.93%
E12D7,CHILPANCINGO,ES,GUERRERO,2.39%,0,9.49%
E12D5,TLAPA,ES,GUERRERO,2.57%,0,8.71%
E12D3,ZIHUATANEJO,ES,GUERRERO,0.62%,0,5.40%
E13D3,ACTOPAN,ES,HIDALGO,5.79%,0,13.26%
E13D1,HUEJUTLA DE REYES,ES,HIDALGO,12.25%,3.75%,19.39%
E13D2,IXMIQUILPAN,ES,HIDALGO,4.18%,0,10.93%
E13D7,TEPEAPULCO,ES,HIDALGO,3.67%,0,8.61%
E13D5,TULA DE ALLENDE,ES,HIDALGO,4.25%,0,10.11%
E13D4,TULANCINGO DE BRAVO,ES,HIDALGO,4.97%,0,11.15%
E14D18,AUTLAN DE NAVARRO,ES,JALISCO,0.00%,0,5.12%
E14D19,CIUDAD GUZMAN,ES,JALISCO,0.91%,0,4.47%
E14D11,GUADALAJARA,ES,JALISCO,1.14%,0,5.26%
E14D14,GUADALAJARA,ES,JALISCO,1.92%,0,5.82%
E14D8,GUADALAJARA,ES,JALISCO,1.06%,0,6.32%
E14D9,GUADALAJARA,ES,JALISCO,2.14%,0,6.28%
E14D17,JOCOTEPEC,ES,JALISCO,2.25%,0,6.75%
E14D15,LA BARCA,ES,JALISCO,3.29%,0,7.64%
E14D2,LAGOS DE MORENO,ES,JALISCO,0.00%,0,5.30%
E14D12,SANTA CRUZ DE LAS FLORES,ES,JALISCO,0.54%,0,3.78%
E14D3,TEPATITLAN DE MORELOS,ES,JALISCO,0.11%,0,6.63%
E14D1,TEQUILA,ES,JALISCO,2.09%,0,6.06%
E14D13,TLAQUEPAQUE,ES,JALISCO,1.34%,0,5.45%
E14D16,TLAQUEPAQUE,ES,JALISCO,1.67%,0,5.85%
E14D20,TONALA,ES,JALISCO,1.06%,0,5.80%
E14D7,TONALA,ES,JALISCO,2.17%,0,7.34%
E14D10,ZAPOPAN,ES,JALISCO,2.22%,0,5.70%
E14D6,ZAPOPAN,ES,JALISCO,2.33%,0,6.70%
E16D12,APATZINGAN DE LA CONSTITUCION,ES,MICHOACÁN,1.44%,0,5.29%
E16D6,CIUDAD HIDALGO,ES,MICHOACÁN,2.66%,0,7.36%
E16D3,HEROICA ZITACUARO,ES,MICHOACÁN,1.73%,0,7.48%
E16D4,JIQUILPAN DE JUAREZ,ES,MICHOACÁN,2.17%,0,6.62%
E16D1,LAZARO CARDENAS,ES,MICHOACÁN,1.01%,0,6.33%
E16D10,MORELIA,ES,MICHOACÁN,3.64%,0,9.06%
E16D8,MORELIA,ES,MICHOACÁN,4.48%,0,10.47%
E16D11,PATZCUARO,ES,MICHOACÁN,1.75%,0,8.04%
E16D2,PURUANDIRO,ES,MICHOACÁN,1.75%,0,7.17%
E16D9,URUAPAN DEL PROGRESO,ES,MICHOACÁN,2.69%,0,7.38%
E16D7,ZACAPU,ES,MICHOACÁN,2.90%,0,7.19%
E16D5,ZAMORA DE HIDALGO,ES,MICHOACÁN,2.34%,0,8.53%
E17D3,CUAUTLA,ES,MORELOS,4.68%,0.60%,8.10%
E17D1,CUERNAVACA,ES,MORELOS,5.11%,0.58%,8.92%
E17D2,JIUTEPEC,ES,MORELOS,4.51%,0.52%,7.85%
E17D4,JOJUTLA,ES,MORELOS,3.33%,0,7.08%
E17D5,YAUTEPEC,ES,MORELOS,3.71%,0.91%,6.07%
E15D21,AMECAMECA DE JUAREZ,ES,MÉXICO,3.93%,0,9.32%
E15D3,ATLACOMULCO DE FABELA,ES,MÉXICO,2.27%,0,8.16%
E15D20,CD. NEZAHUALCOYOTL,ES,MÉXICO,2.05%,0,5.97%
E15D29,CD. NEZAHUALCOYOTL,ES,MÉXICO,1.79%,0,5.52%
E15D31,CD. NEZAHUALCOYOTL,ES,MÉXICO,1.26%,0,4.57%
E15D33,CHALCO DE DIAZ COVARRUBIAS,ES,MÉXICO,5.49%,0.41%,9.75%
E15D25,CHIMALHUACAN,ES,MÉXICO,3.28%,0,9.84%
E15D30,CHIMALHUACAN,ES,MÉXICO,2.08%,0,6.68%
E15D14,CIUDAD ADOLFO LOPEZ MATEOS,ES,MÉXICO,3.90%,0,8.54%
E15D15,CIUDAD ADOLFO LOPEZ MATEOS,ES,MÉXICO,3.79%,0,7.76%
E15D6,COACALCO DE BERRIOZABAL,ES,MÉXICO,2.74%,0,6.80%
E15D37,CUAUTITLAN,ES,MÉXICO,4.10%,0,9.59%
E15D10,ECATEPEC DE MORELOS,ES,MÉXICO,4.13%,0,10.58%
E15D11,ECATEPEC DE MORELOS,ES,MÉXICO,3.62%,0,8.26%
E15D13,ECATEPEC DE MORELOS,ES,MÉXICO,4.20%,0,9.94%
E15D16,ECATEPEC DE MORELOS,ES,MÉXICO,3.64%,0,9.28%
E15D17,ECATEPEC DE MORELOS,ES,MÉXICO,3.66%,0,10.11%
E15D18,HUIXQUILUCAN DE DEGOLLADO,ES,MÉXICO,3.75%,0,11.61%
E15D12,IXTAPALUCA,ES,MÉXICO,2.84%,0,9.50%
E15D1,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,ES,MÉXICO,2.71%,0,9.45%
E15D23,LERMA DE VILLADA,ES,MÉXICO,2.25%,0,8.18%
E15D39,LOS REYES ACAQUILPAN,ES,MÉXICO,4.06%,0,11.09%
E15D27,METEPEC,ES,MÉXICO,3.31%,0,10.11%
E15D22,NAUCALPAN DE JUAREZ,ES,MÉXICO,4.55%,0,10.48%
E15D24,NAUCALPAN DE JUAREZ,ES,MÉXICO,3.94%,0,10.13%
E15D4,NICOLAS ROMERO,ES,MÉXICO,3.55%,0,10.52%
E15D41,OJO DE AGUA,ES,MÉXICO,3.34%,0,12.29%
E15D40,SAN MIGUEL ZINACANTEPEC,ES,MÉXICO,3.25%,0,10.48%
E15D2,SANTA MARIA TULTEPEC,ES,MÉXICO,3.58%,0,10.53%
E15D36,TEJUPILCO DE HIDALGO,ES,MÉXICO,1.10%,0,8.88%
E15D5,TEOTIHUACAN DE ARISTA,ES,MÉXICO,2.45%,0,9.32%
E15D38,TEXCOCO DE MORA,ES,MÉXICO,3.26%,0,9.07%
E15D19,TLALNEPANTLA DE BAZ,ES,MÉXICO,4.32%,0,10.33%
E15D34,TOLUCA DE LERDO,ES,MÉXICO,4.65%,0,12.17%
E15D8,TULTITLAN DE MARIANO ESCOBEDO,ES,MÉXICO,3.33%,0,8.69%
E15D32,VALLE DE CHALCO SOLIDARIDAD,ES,MÉXICO,3.26%,-0.21%,6.18%
E18D3,COMPOSTELA,ES,NAYARIT,2.60%,0,10.73%
E18D1,SANTIAGO IXCUINTLA,ES,NAYARIT,0.43%,0,7.07%
E18D2,TEPIC,ES,NAYARIT,1.39%,0,7.30%
E19D2,APODACA,ES,NUEVO LEÓN,2.61%,0,9.65%
E19D12,BENITO JUAREZ,ES,NUEVO LEÓN,4.79%,0,11.92%
E19D7,GARCIA,ES,NUEVO LEÓN,3.36%,0,9.54%
E19D3,GRAL. ESCOBEDO,ES,NUEVO LEÓN,3.01%,0,9.39%
E19D11,GUADALUPE,ES,NUEVO LEÓN,2.41%,0,7.95%
E19D8,GUADALUPE,ES,NUEVO LEÓN,3.49%,0,10.66%
E19D9,LINARES,ES,NUEVO LEÓN,1.80%,0,10.11%
E19D10,MONTERREY,ES,NUEVO LEÓN,1.98%,0,7.14%
E19D6,MONTERREY,ES,NUEVO LEÓN,2.65%,0,8.30%
E19D4,SAN NICOLAS DE LOS GARZA,ES,NUEVO LEÓN,3.12%,0,8.50%
E19D1,SANTA CATARINA,ES,NUEVO LEÓN,2.80%,0,7.98%
E20D7,CIUDAD IXTEPEC,ES,OAXACA,3.34%,0,10.27%
E20D3,HEROICA CIUDAD DE HUAJUAPAN DE LEON,ES,OAXACA,2.18%,0,8.54%
E20D6,HEROICA CIUDAD DE TLAXIACO,ES,OAXACA,1.57%,0,7.31%
E20D10,MIAHUATLAN DE PORFIRIO DIAZ,ES,OAXACA,2.91%,0,10.23%
E20D8,OAXACA DE JUAREZ,ES,OAXACA,4.04%,0,9.89%
E20D9,PUERTO ESCONDIDO,ES,OAXACA,2.92%,0,13.11%
E20D5,SALINA CRUZ,ES,OAXACA,7.94%,0.38%,14.28%
E20D1,SAN JUAN BAUTISTA TUXTEPEC,ES,OAXACA,1.70%,0,9.41%
E20D2,TEOTITLAN DE FLORES MAGON,ES,OAXACA,0.16%,0,7.23%
E20D4,TLACOLULA DE MATAMOROS,ES,OAXACA,4.17%,0,11.06%
E21D14,ACATLAN DE OSORIO,ES,PUEBLA,0.00%,0,8.98%
E21D4,AJALPAN,ES,PUEBLA,2.07%,0,11.16%
E21D13,ATLIXCO,ES,PUEBLA,2.73%,0,11.86%
E21D8,CIUDAD SERDAN,ES,PUEBLA,0.99%,0,7.11%
E21D2,CUAUTILULCO BARRIO,ES,PUEBLA,2.07%,0,10.65%
E21D11,HEROICA PUEBLA DE ZARAGOZA,ES,PUEBLA,3.40%,0,8.62%
E21D12,HEROICA PUEBLA DE ZARAGOZA,ES,PUEBLA,3.60%,0,9.25%
E21D6,HEROICA PUEBLA DE ZARAGOZA,ES,PUEBLA,2.36%,0,8.92%
E21D9,HEROICA PUEBLA DE ZARAGOZA,ES,PUEBLA,2.70%,0,8.39%
E21D1,HUAUCHINANGO DE DEGOLLADO,ES,PUEBLA,2.44%,0,11.72%
E21D5,SAN MARTIN TEXMELUCAN DE LABASTIDA,ES,PUEBLA,2.03%,0,8.50%
E21D15,TEHUACAN,ES,PUEBLA,0.49%,0,7.23%
E21D7,TEPEACA,ES,PUEBLA,0.92%,0,8.45%
E21D3,TEZIUTLAN,ES,PUEBLA,2.34%,0,10.46%
E22D1,CADEREYTA DE MONTES,ES,QUERÉTARO,3.42%,0,11.53%
E22D5,EL PUEBLITO,ES,QUERÉTARO,3.43%,0,12.10%
E22D2,SAN JUAN DEL RIO,ES,QUERÉTARO,2.78%,0,10.49%
E22D3,SANTIAGO DE QUERETARO,ES,QUERÉTARO,3.33%,0,12.09%
E22D4,SANTIAGO DE QUERETARO,ES,QUERÉTARO,3.08%,0,11.16%
E23D3,CANCUN,ES,QUINTANA ROO,3.94%,-0.51%,7.69%
E23D1,PLAYA DEL CARMEN,ES,QUINTANA ROO,3.83%,0,12.24%
E24D4,CIUDAD VALLES,ES,SAN LUIS POTOSÍ,2.25%,0,9.22%
E24D1,MATEHUALA,ES,SAN LUIS POTOSÍ,3.02%,0,10.52%
E24D3,RIOVERDE,ES,SAN LUIS POTOSÍ,2.82%,0,12.20%
E24D5,SAN LUIS POTOSI,ES,SAN LUIS POTOSÍ,2.09%,0,8.12%
E24D6,SAN LUIS POTOSI,ES,SAN LUIS POTOSÍ,2.36%,0,6.42%
E24D2,SOLEDAD DE GRACIANO SANCHEZ,ES,SAN LUIS POTOSÍ,1.19%,0,6.58%
E24D7,TAMAZUNCHALE,ES,SAN LUIS POTOSÍ,1.30%,0,9.01%
E25D7,CULIACAN DE ROSALES,ES,SINALOA,1.90%,0,9.91%
E25D3,GUAMUCHIL,ES,SINALOA,3.43%,0,15.14%
E25D4,GUASAVE,ES,SINALOA,2.90%,0,13.19%
E25D2,LOS MOCHIS,ES,SINALOA,2.09%,0,12.27%
E25D1,MAZATLAN,ES,SINALOA,2.12%,0,13.98%
E25D6,MAZATLAN,ES,SINALOA,1.73%,0,12.92%
E26D6,CD. OBREGON,ES,SONORA,2.62%,0,11.38%
E26D4,GUAYMAS,ES,SONORA,2.67%,0,12.47%
E26D3,HERMOSILLO,ES,SONORA,1.60%,0,9.42%
E26D5,HERMOSILLO,ES,SONORA,1.64%,0,10.36%
E26D7,NAVOJOA,ES,SONORA,1.48%,0,10.39%
E26D2,NOGALES,ES,SONORA,1.78%,0,9.60%
E26D1,SAN LUIS RIO COLORADO,ES,SONORA,2.33%,0,9.29%
E27D3,COMALCALCO,ES,TABASCO,1.70%,0,5.82%
E27D2,HEROICA CARDENAS,ES,TABASCO,1.31%,0,5.95%
E27D1,MACUSPANA,ES,TABASCO,3.26%,0,8.71%
E27D5,PARAISO,ES,TABASCO,2.59%,0,9.19%
E27D4,VILLAHERMOSA,ES,TABASCO,3.04%,0,7.84%
E27D6,VILLAHERMOSA,ES,TABASCO,2.46%,0,8.21%
E28D7,CIUDAD MADERO,ES,TAMAULIPAS,3.06%,0,10.70%
E28D6,CIUDAD MANTE,ES,TAMAULIPAS,3.02%,0,12.14%
E28D5,CIUDAD VICTORIA,ES,TAMAULIPAS,2.78%,0,12.66%
E28D4,H. MATAMOROS,ES,TAMAULIPAS,2.71%,0,12.64%
E28D1,NUEVO LAREDO,ES,TAMAULIPAS,2.16%,0,11.17%
E28D2,REYNOSA,ES,TAMAULIPAS,3.71%,0,12.48%
E28D9,REYNOSA,ES,TAMAULIPAS,2.31%,0,8.53%
E28D3,RIO BRAVO,ES,TAMAULIPAS,3.71%,0,13.96%
E28D8,TAMPICO,ES,TAMAULIPAS,2.21%,0,10.47%
E29D1,APIZACO,ES,TLAXCALA,2.14%,0,7.56%
E29D2,TLAXCALA DE XICOHTENCATL,ES,TLAXCALA,4.09%,0,9.37%
E29D3,ZACATELCO,ES,TLAXCALA,0.92%,0,4.48%
E30D11,COATZACOALCOS,ES,VERACRUZ,3.28%,-0.47%,6.43%
E30D17,COSAMALOAPAN,ES,VERACRUZ,2.25%,0,8.56%
E30D20,COSOLEACAQUE,ES,VERACRUZ,0.85%,0,7.21%
E30D13,HUATUSCO,ES,VERACRUZ,1.60%,0,7.58%
E30D7,MARTINEZ DE LA TORRE,ES,VERACRUZ,0.79%,0,6.81%
E30D14,MINATITLAN,ES,VERACRUZ,1.67%,0,7.97%
E30D15,ORIZABA,ES,VERACRUZ,1.84%,0,7.79%
E30D1,PANUCO,ES,VERACRUZ,4.92%,0,14.80%
E30D6,PAPANTLA DE OLARTE,ES,VERACRUZ,0.64%,0,7.05%
E30D5,POZA RICA DE HIDALGO,ES,VERACRUZ,0.00%,0,5.95%
E30D19,SAN ANDRES TUXTLA,ES,VERACRUZ,2.93%,0,8.63%
E30D2,TANTOYUCA,ES,VERACRUZ,0.86%,0,7.30%
E30D3,TUXPAN DE RODRIGUEZ CANO,ES,VERACRUZ,2.47%,0,11.06%
E30D12,VERACRUZ,ES,VERACRUZ,2.25%,0,6.64%
E30D4,VERACRUZ,ES,VERACRUZ,2.37%,0,7.84%
E30D10,XALAPA,ES,VERACRUZ,3.47%,-0.25%,6.60%
E30D8,XALAPA,ES,VERACRUZ,2.48%,0,8.17%
E30D18,ZONGOLICA,ES,VERACRUZ,0.84%,0,6.02%
E31D3,MERIDA,ES,YUCATÁN,1.19%,0,11.92%
E31D4,MERIDA,ES,YUCATÁN,1.37%,0,12.31%
E31D2,PROGRESO,ES,YUCATÁN,1.79%,0,14.61%
E31D5,TICUL,ES,YUCATÁN,1.01%,0,13.57%
E31D1,VALLADOLID,ES,YUCATÁN,0.77%,0,13.32%
E32D1,FRESNILLO,ES,ZACATECAS,4.15%,0,13.24%
E32D4,GUADALUPE,ES,ZACATECAS,2.43%,0,12.91%
E32D2,JEREZ DE GARCIA SALINAS,ES,ZACATECAS,3.19%,0,14.90%
E32D3,ZACATECAS,ES,ZACATECAS,1.14%,0,8.22%
E1D2,AGUASCALIENTES,MC,AGUASCALIENTES,4.80%,1.62%,7.47%
E1D3,AGUASCALIENTES,MC,AGUASCALIENTES,4.28%,0.41%,7.52%
E1D1,JESUS MARIA,MC,AGUASCALIENTES,2.92%,0.76%,4.73%
E2D3,ENSENADA,MC,BAJA CALIFORNIA,4.41%,2.27%,6.19%
E2D1,MEXICALI,MC,BAJA CALIFORNIA,6.32%,2.75%,9.32%
E2D2,MEXICALI,MC,BAJA CALIFORNIA,5.81%,2.16%,8.87%
E2D7,MEXICALI,MC,BAJA CALIFORNIA,7.55%,3.03%,11.34%
E2D4,TIJUANA,MC,BAJA CALIFORNIA,3.76%,0.98%,6.09%
E2D5,TIJUANA,MC,BAJA CALIFORNIA,3.42%,0.10%,6.22%
E2D6,TIJUANA,MC,BAJA CALIFORNIA,3.56%,0.36%,6.25%
E2D8,TIJUANA,MC,BAJA CALIFORNIA,4.07%,0.83%,6.78%
E3D1,LA PAZ,MC,BAJA CALIFORNIA SUR,2.56%,0.46%,4.32%
E3D2,SAN JOSE DEL CABO,MC,BAJA CALIFORNIA SUR,1.48%,0,3.56%
E4D2,CIUDAD DEL CARMEN,MC,CAMPECHE,2.38%,0,7.12%
E4D1,SAN FRANCISCO DE CAMPECHE,MC,CAMPECHE,2.78%,0,7.44%
E7D2,BOCHIL,MC,CHIAPAS,4.01%,0,14.05%
E7D8,COMITAN DE DOMINGUEZ,MC,CHIAPAS,5.07%,0,17.83%
E7D13,HUEHUETAN,MC,CHIAPAS,4.33%,0,14.62%
E7D11,LAS MARGARITAS,MC,CHIAPAS,5.56%,0,16.20%
E7D3,OCOSINGO,MC,CHIAPAS,6.00%,0,18.24%
E7D1,PALENQUE,MC,CHIAPAS,5.33%,0,16.38%
E7D4,PICHUCALCO,MC,CHIAPAS,5.88%,0,18.20%
E7D5,SAN CRISTOBAL DE LAS CASAS,MC,CHIAPAS,6.11%,0,18.49%
E7D12,TAPACHULA,MC,CHIAPAS,3.78%,0,13.49%
E7D7,TONALA,MC,CHIAPAS,4.27%,0,14.49%
E7D6,TUXTLA GUTIERREZ,MC,CHIAPAS,5.73%,0,15.92%
E7D9,TUXTLA GUTIERREZ,MC,CHIAPAS,5.37%,0,13.15%
E7D10,VILLAFLORES,MC,CHIAPAS,3.81%,0,15.28%
E8D6,CHIHUAHUA,MC,CHIHUAHUA,2.98%,0,7.24%
E8D8,CHIHUAHUA,MC,CHIHUAHUA,3.60%,0,7.22%
E8D7,CUAUHTEMOC,MC,CHIHUAHUA,2.44%,0,6.82%
E8D5,DELICIAS,MC,CHIHUAHUA,2.13%,0,6.29%
