Partido candidato de la coalición,U Distrito,Estado,Cabecera.Distrital,Media,DesvEst,Menor,Mayor,PROBABILIDAD DE GANAR
PRI,E4D1,CAMPECHE,SAN FRANCISCO DE CAMPECHE,33.30%,0.0692,21.91%,46.87%,11.82%
PT,E4D1,CAMPECHE,SAN FRANCISCO DE CAMPECHE,3.33%,0.0105,1.60%,5.40%,0.00%
PVEM,E4D1,CAMPECHE,SAN FRANCISCO DE CAMPECHE,9.31%,0.0787,0.00%,24.73%,0.00%
RSP,E4D1,CAMPECHE,SAN FRANCISCO DE CAMPECHE,2.83%,0.0374,0.00%,10.17%,0.00%
ES,E4D2,CAMPECHE,CIUDAD DEL CARMEN,1.84%,0.0465,0.00%,10.95%,0.00%
MC,E4D2,CAMPECHE,CIUDAD DEL CARMEN,2.38%,0.0288,0.00%,8.02%,0.00%
MORENA,E4D2,CAMPECHE,CIUDAD DEL CARMEN,43.47%,0.0197,40.22%,47.33%,80.82%
PAN,E4D2,CAMPECHE,CIUDAD DEL CARMEN,37.09%,0.0904,22.21%,54.81%,19.17%
PT,E4D2,CAMPECHE,CIUDAD DEL CARMEN,2.40%,0.0078,1.11%,3.93%,0.00%
PVEM,E4D2,CAMPECHE,CIUDAD DEL CARMEN,8.55%,0.0824,0.00%,24.71%,0.00%
RSP,E4D2,CAMPECHE,CIUDAD DEL CARMEN,0.20%,0.0201,0.00%,4.13%,0.00%
ES,E7D1,CHIAPAS,PALENQUE,9.12%,0.0893,0.00%,26.62%,0.00%
MC,E7D1,CHIAPAS,PALENQUE,5.33%,0.0672,0.00%,18.50%,0.00%
MORENA,E7D1,CHIAPAS,PALENQUE,71.10%,0.1117,52.73%,92.98%,99.95%
PRD,E7D1,CHIAPAS,PALENQUE,16.87%,0.1163,0.00%,39.67%,0.05%
RSP,E7D1,CHIAPAS,PALENQUE,6.93%,0.1038,0.00%,27.28%,0.00%
ES,E7D10,CHIAPAS,VILLAFLORES,8.21%,0.0841,0.00%,24.70%,0.00%
MC,E7D10,CHIAPAS,VILLAFLORES,3.81%,0.0697,0.00%,17.48%,0.00%
PRI,E7D10,CHIAPAS,VILLAFLORES,19.33%,0.0989,0.00%,38.71%,0.06%
PVEM,E7D10,CHIAPAS,VILLAFLORES,66.54%,0.1046,49.34%,87.03%,99.94%
RSP,E7D10,CHIAPAS,VILLAFLORES,6.86%,0.0944,0.00%,25.37%,0.00%
ES,E7D11,CHIAPAS,LAS MARGARITAS,8.22%,0.0915,0.00%,26.15%,0.11%
MC,E7D11,CHIAPAS,LAS MARGARITAS,5.56%,0.0647,0.00%,18.23%,0.00%
PRD,E7D11,CHIAPAS,LAS MARGARITAS,29.30%,0.1011,12.68%,49.11%,18.98%
PVEM,E7D11,CHIAPAS,LAS MARGARITAS,49.39%,0.1004,32.87%,69.07%,80.87%
RSP,E7D11,CHIAPAS,LAS MARGARITAS,7.89%,0.0838,0.00%,24.31%,0.04%
ES,E7D12,CHIAPAS,TAPACHULA,6.87%,0.0717,0.00%,20.93%,0.00%
MC,E7D12,CHIAPAS,TAPACHULA,3.78%,0.0590,0.00%,15.35%,0.00%
MORENA,E7D12,CHIAPAS,TAPACHULA,52.49%,0.0204,49.13%,56.49%,100.00%
PRI,E7D12,CHIAPAS,TAPACHULA,22.39%,0.0601,12.51%,34.18%,0.00%
PT,E7D12,CHIAPAS,TAPACHULA,3.68%,0.0101,2.02%,5.65%,0.00%
PVEM,E7D12,CHIAPAS,TAPACHULA,10.09%,0.0810,0.00%,25.96%,0.00%
RSP,E7D12,CHIAPAS,TAPACHULA,3.29%,0.0742,0.00%,17.82%,0.00%
ES,E7D13,CHIAPAS,HUEHUETAN,7.34%,0.0714,0.00%,21.33%,0.00%
MC,E7D13,CHIAPAS,HUEHUETAN,4.33%,0.0626,0.00%,16.59%,0.00%
PRD,E7D13,CHIAPAS,HUEHUETAN,27.11%,0.0864,12.91%,44.04%,1.35%
PT,E7D13,CHIAPAS,HUEHUETAN,55.52%,0.0703,43.95%,69.31%,98.65%
RSP,E7D13,CHIAPAS,HUEHUETAN,5.29%,0.0549,0.00%,16.06%,0.00%
ES,E7D2,CHIAPAS,BOCHIL,6.64%,0.0779,0.00%,21.91%,0.00%
MC,E7D2,CHIAPAS,BOCHIL,4.01%,0.0610,0.00%,15.97%,0.00%
PRI,E7D2,CHIAPAS,BOCHIL,31.27%,0.0907,16.35%,49.05%,11.24%
PVEM,E7D2,CHIAPAS,BOCHIL,53.64%,0.0922,38.47%,71.71%,88.76%
RSP,E7D2,CHIAPAS,BOCHIL,5.03%,0.0698,0.00%,18.71%,0.00%
ES,E7D3,CHIAPAS,OCOSINGO,7.44%,0.0915,0.00%,25.37%,0.02%
MC,E7D3,CHIAPAS,OCOSINGO,6.00%,0.0744,0.00%,20.59%,0.00%
MORENA,E7D3,CHIAPAS,OCOSINGO,37.72%,0.0119,35.77%,40.05%,94.36%
PRD,E7D3,CHIAPAS,OCOSINGO,17.89%,0.1087,0.00%,39.20%,1.66%
PT,E7D3,CHIAPAS,OCOSINGO,4.09%,0.0040,3.44%,4.86%,0.00%
PVEM,E7D3,CHIAPAS,OCOSINGO,21.80%,0.1029,4.88%,41.96%,3.79%
RSP,E7D3,CHIAPAS,OCOSINGO,11.38%,0.0988,0.00%,30.74%,0.17%
ES,E7D4,CHIAPAS,PICHUCALCO,8.11%,0.0907,0.00%,25.88%,0.02%
MC,E7D4,CHIAPAS,PICHUCALCO,5.88%,0.0749,0.00%,20.56%,0.00%
MORENA,E7D4,CHIAPAS,PICHUCALCO,40.30%,0.0240,36.35%,45.02%,96.62%
PAN,E7D4,CHIAPAS,PICHUCALCO,21.58%,0.0909,6.63%,39.40%,2.12%
PT,E7D4,CHIAPAS,PICHUCALCO,3.77%,0.0063,2.73%,5.01%,0.00%
PVEM,E7D4,CHIAPAS,PICHUCALCO,16.95%,0.1075,0.00%,38.03%,1.23%
RSP,E7D4,CHIAPAS,PICHUCALCO,6.68%,0.0922,0.00%,24.75%,0.01%
ES,E7D5,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,7.31%,0.0814,0.00%,23.26%,0.00%
MC,E7D5,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,6.11%,0.0752,0.00%,20.86%,0.00%
PRI,E7D5,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,23.78%,0.0989,7.51%,43.18%,1.34%
PT,E7D5,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,60.66%,0.1069,43.08%,81.61%,98.65%
RSP,E7D5,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,6.61%,0.0985,0.00%,25.92%,0.00%
ES,E7D6,CHIAPAS,TUXTLA GUTIERREZ,7.33%,0.0733,0.00%,21.69%,0.00%
MC,E7D6,CHIAPAS,TUXTLA GUTIERREZ,5.73%,0.0620,0.00%,17.87%,0.00%
MORENA,E7D6,CHIAPAS,TUXTLA GUTIERREZ,68.34%,0.0858,54.22%,85.16%,100.00%
PRD,E7D6,CHIAPAS,TUXTLA GUTIERREZ,21.28%,0.0750,8.94%,35.98%,0.00%
RSP,E7D6,CHIAPAS,TUXTLA GUTIERREZ,3.46%,0.0606,0.00%,15.35%,0.00%
ES,E7D7,CHIAPAS,TONALA,7.88%,0.0822,0.00%,23.99%,0.00%
MC,E7D7,CHIAPAS,TONALA,4.27%,0.0621,0.00%,16.45%,0.00%
MORENA,E7D7,CHIAPAS,TONALA,69.58%,0.0972,53.58%,88.63%,100.00%
PAN,E7D7,CHIAPAS,TONALA,23.45%,0.0749,11.13%,38.14%,0.00%
RSP,E7D7,CHIAPAS,TONALA,7.41%,0.0884,0.00%,24.74%,0.00%
ES,E7D8,CHIAPAS,COMITAN DE DOMINGUEZ,6.99%,0.0817,0.00%,23.00%,0.00%
MC,E7D8,CHIAPAS,COMITAN DE DOMINGUEZ,5.07%,0.0776,0.00%,20.28%,0.00%
PRI,E7D8,CHIAPAS,COMITAN DE DOMINGUEZ,21.70%,0.0846,7.78%,38.29%,0.17%
PT,E7D8,CHIAPAS,COMITAN DE DOMINGUEZ,62.21%,0.1058,44.81%,82.94%,99.83%
RSP,E7D8,CHIAPAS,COMITAN DE DOMINGUEZ,7.81%,0.0963,0.00%,26.69%,0.00%
ES,E7D9,CHIAPAS,TUXTLA GUTIERREZ,7.78%,0.0507,0.00%,17.72%,0.00%
MC,E7D9,CHIAPAS,TUXTLA GUTIERREZ,5.37%,0.0473,0.00%,14.63%,0.00%
MORENA,E7D9,CHIAPAS,TUXTLA GUTIERREZ,73.26%,0.0698,61.77%,86.94%,100.00%
PAN,E7D9,CHIAPAS,TUXTLA GUTIERREZ,17.21%,0.0604,7.27%,29.05%,0.00%
RSP,E7D9,CHIAPAS,TUXTLA GUTIERREZ,3.59%,0.0539,0.00%,14.15%,0.00%
ES,E8D1,CHIHUAHUA,JUAREZ,4.00%,0.0358,0.00%,11.03%,0.00%
MC,E8D1,CHIHUAHUA,JUAREZ,3.43%,0.0189,0.00%,7.12%,0.00%
MORENA,E8D1,CHIHUAHUA,JUAREZ,46.62%,0.0255,42.44%,51.61%,99.92%
PRD,E8D1,CHIHUAHUA,JUAREZ,27.41%,0.0507,19.08%,37.35%,0.08%
PT,E8D1,CHIHUAHUA,JUAREZ,4.31%,0.0051,3.48%,5.30%,0.00%
PVEM,E8D1,CHIHUAHUA,JUAREZ,10.09%,0.0546,0.00%,20.80%,0.00%
RSP,E8D1,CHIHUAHUA,JUAREZ,4.80%,0.0204,1.45%,8.80%,0.00%
ES,E8D2,CHIHUAHUA,JUAREZ,5.05%,0.0408,0.00%,13.04%,0.00%
MC,E8D2,CHIHUAHUA,JUAREZ,5.14%,0.0262,0.83%,10.27%,0.00%
MORENA,E8D2,CHIHUAHUA,JUAREZ,52.14%,0.0641,41.59%,64.70%,94.46%
PRD,E8D2,CHIHUAHUA,JUAREZ,34.68%,0.0552,25.61%,45.50%,5.54%
RSP,E8D2,CHIHUAHUA,JUAREZ,4.88%,0.0293,0.00%,10.62%,0.00%
ES,E8D3,CHIHUAHUA,JUAREZ,5.18%,0.0379,0.00%,12.61%,0.00%
MC,E8D3,CHIHUAHUA,JUAREZ,4.48%,0.0222,0.83%,8.82%,0.00%
PRD,E8D3,CHIHUAHUA,JUAREZ,32.09%,0.0528,23.40%,42.44%,1.50%
PT,E8D3,CHIHUAHUA,JUAREZ,52.24%,0.0615,42.13%,64.29%,98.50%
RSP,E8D3,CHIHUAHUA,JUAREZ,4.44%,0.0225,0.74%,8.84%,0.00%
ES,E8D4,CHIHUAHUA,JUAREZ,5.01%,0.0500,0.00%,14.82%,0.00%
MC,E8D4,CHIHUAHUA,JUAREZ,3.40%,0.0208,0.00%,7.47%,0.00%
MORENA,E8D4,CHIHUAHUA,JUAREZ,48.74%,0.0733,36.69%,63.10%,67.65%
PAN,E8D4,CHIHUAHUA,JUAREZ,38.78%,0.0717,26.99%,52.83%,32.35%
RSP,E8D4,CHIHUAHUA,JUAREZ,3.43%,0.0189,0.00%,7.13%,0.00%
ES,E8D5,CHIHUAHUA,DELICIAS,3.09%,0.0530,0.00%,13.48%,0.00%
MC,E8D5,CHIHUAHUA,DELICIAS,2.13%,0.0253,0.00%,7.09%,0.00%
PAN,E8D5,CHIHUAHUA,DELICIAS,50.38%,0.1044,33.20%,70.85%,57.01%
PVEM,E8D5,CHIHUAHUA,DELICIAS,41.76%,0.0947,26.18%,60.31%,42.99%
RSP,E8D5,CHIHUAHUA,DELICIAS,4.73%,0.0179,1.79%,8.24%,0.00%
ES,E8D6,CHIHUAHUA,CHIHUAHUA,4.31%,0.0428,0.00%,12.69%,0.00%
MC,E8D6,CHIHUAHUA,CHIHUAHUA,2.98%,0.0259,0.00%,8.06%,0.00%
MORENA,E8D6,CHIHUAHUA,CHIHUAHUA,27.54%,0.0083,26.17%,29.18%,52.78%
PAN,E8D6,CHIHUAHUA,CHIHUAHUA,36.96%,0.0737,24.84%,51.40%,39.64%
PRD,E8D6,CHIHUAHUA,CHIHUAHUA,0.00%,0.0247,0.00%,4.85%,0.00%
PRI,E8D6,CHIHUAHUA,CHIHUAHUA,17.71%,0.1197,0.00%,41.16%,7.34%
PT,E8D6,CHIHUAHUA,CHIHUAHUA,1.32%,0.0070,0.00%,2.69%,0.00%
PVEM,E8D6,CHIHUAHUA,CHIHUAHUA,8.38%,0.0765,0.00%,23.38%,0.23%
RSP,E8D6,CHIHUAHUA,CHIHUAHUA,2.82%,0.0216,0.00%,7.05%,0.00%
ES,E8D7,CHIHUAHUA,CUAUHTEMOC,4.75%,0.0715,0.00%,18.76%,0.01%
MC,E8D7,CHIHUAHUA,CUAUHTEMOC,2.44%,0.0266,0.00%,7.65%,0.00%
PAN,E8D7,CHIHUAHUA,CUAUHTEMOC,47.30%,0.1056,29.92%,68.01%,51.06%
PT,E8D7,CHIHUAHUA,CUAUHTEMOC,46.34%,0.1113,28.04%,68.15%,48.93%
RSP,E8D7,CHIHUAHUA,CUAUHTEMOC,2.99%,0.0180,0.00%,6.52%,0.00%
ES,E8D8,CHIHUAHUA,CHIHUAHUA,4.05%,0.0484,0.00%,13.53%,0.00%
MC,E8D8,CHIHUAHUA,CHIHUAHUA,3.60%,0.0220,0.00%,7.91%,0.00%
MORENA,E8D8,CHIHUAHUA,CHIHUAHUA,43.55%,0.0701,32.01%,57.29%,90.20%
PAN,E8D8,CHIHUAHUA,CHIHUAHUA,27.82%,0.0445,20.50%,36.53%,7.87%
PRD,E8D8,CHIHUAHUA,CHIHUAHUA,1.66%,0.0246,0.00%,6.48%,0.00%
PRI,E8D8,CHIHUAHUA,CHIHUAHUA,17.56%,0.0911,0.00%,35.42%,1.92%
RSP,E8D8,CHIHUAHUA,CHIHUAHUA,4.20%,0.0192,1.04%,7.96%,0.00%
ES,E8D9,CHIHUAHUA,HIDALGO DEL PARRAL,3.51%,0.0744,0.00%,18.09%,0.00%
MC,E8D9,CHIHUAHUA,HIDALGO DEL PARRAL,1.65%,0.0263,0.00%,6.79%,0.00%
PAN,E8D9,CHIHUAHUA,HIDALGO DEL PARRAL,51.14%,0.1169,31.91%,74.05%,61.57%
PVEM,E8D9,CHIHUAHUA,HIDALGO DEL PARRAL,38.95%,0.1148,20.07%,61.45%,38.43%
RSP,E8D9,CHIHUAHUA,HIDALGO DEL PARRAL,3.86%,0.0224,0.00%,8.25%,0.00%
ES,E9D1,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,4.36%,0.0242,0.00%,9.10%,0.00%
MC,E9D1,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,6.74%,0.0307,1.69%,12.75%,0.00%
MORENA,E9D1,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,46.84%,0.0305,41.81%,52.82%,99.92%
PRD,E9D1,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,26.41%,0.0519,17.88%,36.59%,0.08%
PT,E9D1,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,3.34%,0.0041,2.66%,4.15%,0.00%
PVEM,E9D1,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,4.95%,0.0268,0.00%,10.19%,0.00%
RSP,E9D1,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,4.18%,0.0367,0.00%,11.36%,0.00%
ES,E9D10,CIUDAD DE MÉXICO,MIGUEL HIDALGO,4.97%,0.0317,0.00%,11.18%,0.00%
MC,E9D10,CIUDAD DE MÉXICO,MIGUEL HIDALGO,4.90%,0.0122,2.90%,7.28%,0.00%
MORENA,E9D10,CIUDAD DE MÉXICO,MIGUEL HIDALGO,42.63%,0.0549,33.60%,53.38%,50.67%
PAN,E9D10,CIUDAD DE MÉXICO,MIGUEL HIDALGO,48.18%,0.0951,32.54%,66.83%,49.33%
RSP,E9D10,CIUDAD DE MÉXICO,MIGUEL HIDALGO,2.92%,0.0289,0.00%,8.60%,0.00%
ES,E9D11,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,5.36%,0.0190,2.23%,9.08%,0.00%
MC,E9D11,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,8.12%,0.0188,5.03%,11.79%,0.00%
MORENA,E9D11,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,44.88%,0.0352,39.09%,51.78%,88.07%
PRD,E9D11,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,35.25%,0.0511,26.85%,45.27%,11.93%
PT,E9D11,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,2.54%,0.0057,1.60%,3.66%,0.00%
PVEM,E9D11,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,4.96%,0.0279,0.00%,10.43%,0.00%
RSP,E9D11,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,4.07%,0.0395,0.00%,11.81%,0.00%
ES,E9D12,CIUDAD DE MÉXICO,CUAUHTEMOC,5.69%,0.0337,0.00%,12.29%,0.00%
MC,E9D12,CIUDAD DE MÉXICO,CUAUHTEMOC,4.81%,0.0067,3.71%,6.12%,0.00%
MORENA,E9D12,CIUDAD DE MÉXICO,CUAUHTEMOC,42.76%,0.0148,40.33%,45.65%,82.85%
PRD,E9D12,CIUDAD DE MÉXICO,CUAUHTEMOC,37.76%,0.0570,28.38%,48.93%,17.15%
PT,E9D12,CIUDAD DE MÉXICO,CUAUHTEMOC,1.37%,0.0071,0.00%,2.77%,0.00%
PVEM,E9D12,CIUDAD DE MÉXICO,CUAUHTEMOC,7.33%,0.0514,0.00%,17.41%,0.00%
RSP,E9D12,CIUDAD DE MÉXICO,CUAUHTEMOC,3.48%,0.0267,0.00%,8.72%,0.00%
ES,E9D13,CIUDAD DE MÉXICO,IZTACALCO,5.10%,0.0221,1.46%,9.44%,0.00%
MC,E9D13,CIUDAD DE MÉXICO,IZTACALCO,6.37%,0.0324,1.03%,12.72%,0.00%
MORENA,E9D13,CIUDAD DE MÉXICO,IZTACALCO,53.62%,0.0424,46.64%,61.93%,99.92%
PRD,E9D13,CIUDAD DE MÉXICO,IZTACALCO,31.18%,0.0519,22.65%,41.35%,0.08%
RSP,E9D13,CIUDAD DE MÉXICO,IZTACALCO,4.86%,0.0409,0.00%,12.87%,0.00%
ES,E9D14,CIUDAD DE MÉXICO,TLALPAN,5.10%,0.0220,1.49%,9.41%,0.00%
MC,E9D14,CIUDAD DE MÉXICO,TLALPAN,5.87%,0.0106,4.12%,7.95%,0.00%
MORENA,E9D14,CIUDAD DE MÉXICO,TLALPAN,50.77%,0.0265,46.41%,55.97%,99.78%
